0,/home/anhtu/characters/U+3086/U+3086_200021637-00012_1_X0121_Y0293.jpg
1,/home/anhtu/characters/U+3086/U+3086_200021712-00015_2_X0767_Y3256.jpg
2,/home/anhtu/characters/U+3086/U+3086_200021637-00015_2_X0281_Y0252.jpg
3,/home/anhtu/characters/U+3086/U+3086_200021853-00027_2_X0196_Y0912.jpg
4,/home/anhtu/characters/U+3086/U+3086_200021712-00015_2_X1710_Y2475.jpg
5,/home/anhtu/characters/U+3086/U+3086_200021712-00052_1_X1662_Y1405.jpg
6,/home/anhtu/characters/U+3086/U+3086_200021802-00042_1_X0121_Y2216.jpg
7,/home/anhtu/characters/U+3086/U+3086_200021853-00036_1_X0342_Y1315.jpg
8,/home/anhtu/characters/U+3086/U+3086_200021853-00038_1_X0757_Y2371.jpg
9,/home/anhtu/characters/U+3086/U+3086_200021763-00041_1_X0117_Y2484.jpg
10,/home/anhtu/characters/U+3086/U+3086_200022050-00007_2_X2251_Y2575.jpg
11,/home/anhtu/characters/U+3086/U+3086_200021925-00015_1_X0505_Y0832.jpg
12,/home/anhtu/characters/U+3086/U+3086_200021712-00016_1_X0809_Y2167.jpg
13,/home/anhtu/characters/U+3086/U+3086_200021763-00004_1_X0427_Y2698.jpg
14,/home/anhtu/characters/U+3086/U+3086_200021802-00045_1_X0144_Y1894.jpg
15,/home/anhtu/characters/U+3086/U+3086_200021802-00041_2_X2722_Y3321.jpg
16,/home/anhtu/characters/U+3086/U+3086_200021853-00027_2_X0746_Y1524.jpg
17,/home/anhtu/characters/U+3086/U+3086_200021802-00017_2_X0841_Y2901.jpg
18,/home/anhtu/characters/U+3086/U+3086_200022050-00013_2_X1162_Y1257.jpg
19,/home/anhtu/characters/U+3086/U+3086_200021802-00040_1_X0512_Y2554.jpg
20,/home/anhtu/characters/U+3086/U+3086_200021802-00041_1_X1132_Y1865.jpg
21,/home/anhtu/characters/U+3086/U+3086_200022050-00004_1_X1267_Y1318.jpg
22,/home/anhtu/characters/U+3086/U+3086_200021869-00013_1_X0452_Y0725.jpg
23,/home/anhtu/characters/U+3086/U+3086_200021712-00074_1_X1691_Y1965.jpg
